company,n_sites,name_variants,company_source,parent_codes,n_countries,countries,regions,verticals,customer_classes,best_segmentation,has_hq_site,fda_any,first_created,last_updated,n_flag_review
Stocks Lovell Ltd.,1,,site_name,,1,United Kingdom,EMEA,Food & Beverage,Customer,,False,False,2020-10-31,2025-10-03,0
Siemens Ltd,1,,site_name,Siemen,1,Australia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
USUI International,1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
USL Capital Leasing,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Siemens Product Lifecycle Management Software Inc,1,,site_name,,1,United States,North America,,Partner,,False,False,2020-10-31,2024-11-22,0
USA NH Portsmouth,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Siemens Sp. z.o.o.,1,,site_name,Siemen,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Sientra Inc.,1,,global_hq_rollup,,1,United States,North America,Life Sciences,Former Customer,,False,False,2020-10-31,2025-10-03,0
Solvay SA/Dnf,1,,site_name,Solvay,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Sierra Concepts/Ellison,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Sierra Concepts/Smw,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Sierra Concepts/Tree Div.,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Sierra Instruments, Inc.",1,,global_hq_rollup,,1,United States,North America,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
"Sierra Lobo, Inc.",1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
SierraConstellation Partners LLC,1,,site_name,,1,United States,North America,,Customer,,False,False,2023-02-09,2023-07-17,0
Sierracin Sylmar Corporation,1,,site_name,Ppgcor,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Sifmar,1,,site_name,,1,Belgium,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
US WEST,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Siam NSK Steering-Systems,1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Siam Stars Ltd.,1,,site_name,,1,Thailand,Asia-Pacific,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Siam Steel International Public Company Limited,1,,global_hq_rollup,,1,Thailand,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
"UTP Supply Chain Group Co., Ltd.",1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-07-17,0
UTC Fire & Security BV-EDC,1,,site_name,Genera,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Sibelco Asia Pte Ltd,1,,site_name,,1,Singapore,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Siberian State Aerospace,1,,site_name,,1,Russian Federation,EMEA,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Siberian State Technical,1,,site_name,,1,Russian Federation,EMEA,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Siemens Ind.Sotfware SAS,1,,site_name,,1,France,EMEA,,Bill-To,,False,False,2020-11-01,2023-04-29,0
"Sichuan Guangan Xinguang Electirc Tower Co., Ltd.",1,,global_hq_rollup,,1,China,Asia-Pacific,Electronics,Customer,,True,False,2021-01-26,2025-10-03,0
Sichuan Instrument Fty No.6,1,,global_hq_rollup,,1,China,Asia-Pacific,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
Sicop,1,,site_name,,1,Israel,EMEA,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
UTA Europe,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Siemens Business Services,1,,site_name,Siemen,1,Australia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Siemens Finance Ltd.,1,,site_name,Siemen,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Siemens Gamma Sonics,1,,site_name,Siemen,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Siemens Ind. Software SAS,1,,site_name,,1,France,EMEA,,Bill-To,,False,False,2020-11-01,2023-04-29,0
"Sichuan Changhong IT Digital techology Co., Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2023-12-13,2024-11-01,0
Silicon Storage Technology,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
URGO GROUP,1,,site_name,,1,France,EMEA,Life Sciences,Customer,,False,False,2020-10-31,2024-11-01,0
Siligan Plastics Corp.,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Silk Road Medical Inc,1,,site_name,,1,United States,North America,Other,Customer,,False,False,2023-10-12,2024-11-01,0
Simac ICT GmbH,1,,site_name,,1,Germany,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
Simba Textile Mills Pty Ltd,1,,site_name,,1,Australia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
UPE Electronics Co Ltd,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-28,0
Sigarenfabriek Neos N.V.,1,,site_name,Jcorte,1,Belgium,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Simmons Foods HQ,1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Customer,,False,False,2024-02-24,2025-10-03,0
Simmons-Rand,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
UNMAS Unlu Mamulleri San.Tic,1,,global_hq_rollup,,1,Turkey,EMEA,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
UNITEC Fahrzeugteile GmbH & Co.KG,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2021-01-13,2023-04-29,0
Simplifying Software,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
Sims Lifecycle Services BV,1,,site_name,,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
"Sinbad Foods, LLC",1,,site_name,,1,United States,North America,Food & Beverage,Former Customer,C,False,False,2020-11-01,2025-10-03,0
Sinclair Animal and Household Care,1,,site_name,Beapha,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Simhoong Auto Parts Industry,1,,site_name,,1,China,Asia-Pacific,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
Sigma Industries Inc.,1,,site_name,,1,United States,North America,,Partner,,False,False,2020-10-31,2024-11-22,0
Sigma International,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Signal International, Inc",1,,site_name,,1,United States,North America,,Customer,,False,False,2021-04-27,2023-04-29,0
Signature Stadtmobiliar GmbH,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Signet Jewelers Ltd.,1,,global_hq_rollup,Blueni,1,United States,North America,Consumer Products,Customer,,False,False,2022-04-07,2025-12-09,0
Signet Systems,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Signify GmbH,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2021-02-02,2023-04-29,0
Sigra S.A.,1,,global_hq_rollup,,1,Colombia,Latin America,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
US Bancorp,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Sika (China) Ltd,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Silberwarenfabrik Jäger GmbH,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
US Farathane Corporation,1,,global_hq_rollup,Usfara,1,Mexico,Latin America,Automotive,Customer,,False,False,2021-07-30,2024-11-01,0
US Environmental Protection Agency,1,,global_hq_rollup,,1,United States,North America,Other,Customer,,False,False,2020-10-31,2025-10-03,0
Silicon Graphics,1,,site_name,Silico,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
US Endodontics,1,,global_hq_rollup,,1,United States,North America,Life Sciences,Customer,,False,False,2021-09-10,2024-11-01,0
Silicon Graphics SA,1,,site_name,Silico,1,Switzerland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
US Borax Inc.,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-07-17,0
US Sugar,1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
"Shenyang Xinzhongtian Consumable co., LTD",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2021-04-21,2024-11-01,0
"Shenyang YanjiAutomobile Lease Service Co.,Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2021-06-25,2024-11-01,0
Shenyang Yuhang Machinery &Equipment Co. Ltd.,1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2022-04-22,2024-11-01,0
Uncle Ben's Inc.,1,,site_name,Marsef,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Shenyang Yuxin Materials Co. Ltd,1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2023-09-01,2024-11-01,0
Shenyang Zhenhong material recycling Co. Ltd,1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2023-09-06,2024-11-01,0
"Shenyang Zhonghao Electromechanical Equipment Co., Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2022-04-22,2024-11-01,0
Siam Knitting Products Co,1,,site_name,,1,Thailand,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
"Shenyang haorun economic and Trade Co., Ltd.",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2021-08-12,2024-11-01,0
"Shenyang jinlide Industrial Technology Co., Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2021-10-06,2024-11-01,0
UnXis Inc.,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
Shenzhen Biocare Electronics,1,,global_hq_rollup,,1,China,Asia-Pacific,Life Sciences,Customer,,True,False,2020-10-31,2025-10-03,0
"Ultratec, Inc",1,,global_hq_rollup,Ultrat,1,United States,North America,Electronics,Bill-To,,False,False,2020-11-01,2024-11-01,0
"Shenzhen Huntkey Electric Co., Ltd.",1,,global_hq_rollup,,1,China,Asia-Pacific,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Ultradent Products,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Shenzhen Jinke Special,1,,site_name,,1,China,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
"Shenyang Zhuqun Machinery Equipment Co,.Ltd.",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2022-04-22,2024-11-01,0
"Shenyang Qicheng Dry Ice Sales Co., Ltd.",1,,global_hq_rollup,,1,China,Asia-Pacific,Consumer Products,Customer,,True,False,2023-02-23,2024-11-01,0
"Shenyang Riyuexin Clothing Co., Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2022-06-15,2024-11-01,0
"Shenyang Ruiweixin Mechanical and Electrical Equipment Co.,Ltd (Shenyang China)",1,,global_hq_rollup,,1,China,Asia-Pacific,Other,Customer,,True,False,2021-10-05,2025-10-03,0
"Shenyang Runwei Technology Co., Ltd.",1,,global_hq_rollup,,1,China,Asia-Pacific,Electronics,Customer,,True,False,2023-01-19,2024-11-01,0
"Shenyang SIASUN Robot & Automation Co., Ltd.",1,,global_hq_rollup,,1,China,Asia-Pacific,Electronics,Customer,,False,False,2021-02-02,2024-11-01,0
"Shenyang SIWEIDE machinery and Equipment Installation Co., Ltd.",1,,global_hq_rollup,,1,China,Asia-Pacific,Industrial,Customer,,True,False,2022-11-16,2024-11-01,0
"Shenyang Shengtai Environmental Protection Technology Co., Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2023-09-01,2024-11-01,0
Shenyang Songling electromenchanical Complete Electrical Appliance Factory,1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2021-08-12,2024-11-01,0
"Shenyang Xinzhiyuan Technology Co., Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2021-07-07,2024-11-01,0
Shenyang Weijun Technologies Company Limited,1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2021-10-06,2024-11-01,0
Unicorn HRO LLC,1,,site_name,,1,United States,North America,,Partner,,False,False,2020-10-31,2024-11-22,0
"Shenyang XINDE-RUILIN Automation Instrumentation Co.,Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2023-08-04,2024-11-01,0
Unibud S.A.,1,,site_name,Budime,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
"Shenyang Xiangguang Machinery Equipment Co.,Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2022-06-18,2024-11-01,0
"Shenyang Xianrun Technology Co., Ltd.",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2022-06-05,2024-11-01,0
"Shenyang Xinlutong Machinery Automation Co., Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2022-04-22,2024-11-01,0
Shenyang Xinshunxiang Metal Mould Company,1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2021-07-07,2024-11-01,0
"Shenyang Taibai Technology Development Co., Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2021-04-21,2024-11-01,0
"Shire Pharmaceuticals, LLC",1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Shire Regenerative Medicine Inc,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Shlavim Mfg Man. Methods Ltd,1,,site_name,,1,Israel,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Uckele Health & Nutrition,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Showa Auto-parts Vietnam Co., Ltd.",1,,site_name,Hitach,1,Vietnam,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
"Showa Autoparts (Thailand) Co., Ltd.",1,,site_name,Hitach,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Showa Lease K.K.,1,,site_name,,1,Japan,Asia-Pacific,,Partner,,False,False,2020-10-31,2024-11-22,0
Shenzhen Marshall Auto,1,,site_name,Shenzh,1,China,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-07-17,0
Shred-Tech/Div. Global Indus,1,,site_name,Global,1,Canada,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
UTi Worldwide,1,,site_name,Dsvpan,1,United States,North America,,Customer,,False,False,2021-04-27,2023-04-29,0
Shuai Kang Corporation,1,,site_name,,1,China,Asia-Pacific,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
Shur-Gain-Maple Leaf Foods,1,,site_name,,1,Canada,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Shuzhou BESCON Electronic Technology Co., Ltd.",1,,site_name,,1,China,Asia-Pacific,Electronics,Customer,,False,False,2021-04-09,2025-10-03,0
Siam Aisin Co. Ltd,1,,site_name,Aisins,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
UTTAM GALVA METALLICS LIMITED,1,,global_hq_rollup,,1,India,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
"Siam Furukawa Co., Ltd.",1,,site_name,Furuka,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Showdown Displays,1,,site_name,,1,United States,North America,Other,Customer,,False,False,2023-10-14,2024-11-01,0
Ultracril S.A. De C.V.,1,,site_name,,1,Mexico,Latin America,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Shenzhen Mindray Bio-Medical,1,,global_hq_rollup,,1,China,Asia-Pacific,Life Sciences,Customer,,True,False,2020-10-31,2025-10-03,0
"Shenzhen Wattsaving Electrical Technology Co., Ltd.",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2023-02-23,2024-11-01,0
Shepparton Partners Collective Pty Ltd,1,,site_name,,1,Australia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-07-17,0
Sherpa,1,,site_name,,1,United States,North America,,Partner,,False,False,2020-10-31,2024-11-22,0
Sherpa Group De,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Sherpa Group de Mexico S.A.,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Ultimus China Inc.,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Shipley,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Shield Restraint Systems Inc,1,,site_name,Eatonc,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Ulmer Spatz GmbH,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Udyog Software(India)Limited,1,,site_name,,1,India,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
Shin-Etsu Kashima Plant,1,,site_name,Shinet,1,Japan,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Shin-Etsu Takefu Plant,1,,site_name,Shinet,1,Japan,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
"Shine Medical Technologies, Inc.",1,,global_hq_rollup,,1,United States,North America,Life Sciences,Former Customer,C,True,False,2020-10-31,2025-12-07,0
Shinkozan Corporation,1,,global_hq_rollup,,1,Philippines,Asia-Pacific,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Shinwon Co. Ltd.,1,,site_name,,1,South Korea,Asia-Pacific,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
Ulthera Inc,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Softech Fin. Div. Of,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Softech Financial Div. Of,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Softmarque,1,,site_name,,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
UCAR Carbon Company Inc.,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
UAB New Vision Baltija,1,,site_name,,1,Lithuania,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
Softspeed Technology Inc.,1,,site_name,,1,Taiwan,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
Softtek,1,,site_name,,1,United States,North America,,Partner,,False,False,2020-10-31,2024-11-22,0
Sinea Peru,1,,global_hq_rollup,,1,Chile,Latin America,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Software Performance Improv.,1,,site_name,,1,South Africa,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Software Plus Inc,1,,site_name,,1,United States,North America,,Partner,,False,False,2020-10-31,2024-11-22,0
SoftwareONE,1,,global_hq_rollup,,1,France,EMEA,Consumer Products,Customer,,False,False,2021-12-19,2025-10-03,0
Sogeti Regions,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
UAB Ideju Piramide,1,,site_name,,1,Lithuania,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
Soilmoisture Equipment Corp,1,,global_hq_rollup,,1,United States,North America,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
Sokolovska Uhelna A.S,1,,global_hq_rollup,,1,Czech Republic,EMEA,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Sola Sunlens Division,1,,site_name,Carlze,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
UAB Kontext E Lithuania,1,,site_name,,1,Lithuania,EMEA,Other,Partner,,False,False,2020-10-31,2025-10-03,0
Société Industrielle Lesaffre,1,,site_name,Lesaff,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Socoda Ltda.,1,,global_hq_rollup,,1,Colombia,Latin America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Socomenin SA,1,,global_hq_rollup,,1,Tunisia,EMEA,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
UCB S.A.,1,,site_name,Ucbpha,1,Belgium,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
UCB NV,1,,site_name,Ucbpha,1,Belgium,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Sodalis Srl,1,,global_hq_rollup,Sodali,1,United States,North America,Consumer Products,Former Customer,,False,False,2022-07-20,2025-10-14,0
Sodiaal International,1,,site_name,Sodiaa,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Sodiaal International SA,1,,global_hq_rollup,,1,France,EMEA,Food & Beverage,Partner,,False,False,2021-08-05,2025-10-03,0
SoftServe Netherlands glistered B.V.,1,,site_name,,1,Netherlands,EMEA,,Bill-To,,False,False,2020-11-01,2023-07-17,0
SofComex Inform atica Ltda,1,,site_name,,1,Brazil,Latin America,,Partner,,False,False,2020-10-31,2024-11-22,0
Sofanou Electronics,1,,site_name,,1,United States,North America,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
Sofanou Inc.,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Sofidel Kagit Sanayi ve,1,,global_hq_rollup,,1,Turkey,EMEA,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
"Sofina Foods, Inc.",1,,global_hq_rollup,Karrof,1,United Kingdom,EMEA,Food & Beverage,Customer,,False,False,2020-10-31,2024-11-01,0
Sofon BV,1,,site_name,,1,Netherlands,EMEA,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Sofon Software Eng.& Cons.,1,,site_name,,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
SoftCon Beratung + Software GmbH,1,,site_name,,1,Germany,EMEA,Other,Partner,,False,False,2023-09-01,2025-10-03,0
Sodival Cultura Socultur SAS,1,,global_hq_rollup,,1,France,EMEA,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
Soluciones en Refacciones y Equipos S.A. de C.V.,1,,site_name,,1,Mexico,Latin America,Other,Customer,,False,False,2021-07-22,2024-11-01,0
Soluisce Solutions Inc.,1,,site_name,,1,United States,North America,,Partner,,False,False,2020-10-31,2024-11-22,0
Solutia Brasil Ltda,1,,site_name,,1,Brazil,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
U-Shin (Thailand) Ltd.,1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Solutia UK Limited,1,,site_name,,1,United Kingdom,EMEA,,Bill-To,,False,False,2020-11-01,2023-04-29,0
U-Shin (Thailand) Co. Ltd.,1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Solution 6000 B.V.,1,,site_name,,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
"SolarEdge Technologies, Inc.",1,,global_hq_rollup,,1,Israel,EMEA,Electronics,Customer,,True,False,2023-06-06,2024-11-01,0
Solutions i2,1,,site_name,,1,Netherlands,EMEA,,Distributor,,False,False,2020-10-31,2023-04-29,0
Solvay Aroma Performance,1,,site_name,Solvay,1,France,EMEA,,Prospect,,False,False,2020-10-31,2023-04-29,0
Solvay Automotive Polska,1,,site_name,Solvay,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-07-17,0
U-SHIN AUTOPARTES MEXICO S.A. DE C.V.,1,,site_name,,1,Mexico,Latin America,,Bill-To,,False,False,2020-11-01,2023-07-17,0
U-Nav,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
Solvay Pharma S.A.,1,,site_name,Solvay,1,Spain,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Solvay Pharmaceutical,1,,site_name,Solvay,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Tyson Foods,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Solution Resource Group Inc,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
U.S.Tsubaki Inc.,1,,site_name,Tsubak,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"SolarGard Automotive Technology(Shanghai)Co.,LTD",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2023-07-28,2024-11-01,0
U.S. Tsubaki Automotive LLC,1,,site_name,Tsubak,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Solara, Inc.",1,,global_hq_rollup,,1,United States,North America,Life Sciences,Former Customer,,True,False,2024-02-24,2025-10-03,0
U.S. Department of Defense,1,,global_hq_rollup,,1,United States,North America,Other,Customer,,False,False,2020-10-31,2025-10-03,0
Solarec S.A.,1,,site_name,,1,Belgium,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Solarsoft Business Systems,1,,site_name,,1,Canada,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Solartron Mobrey Ltd,1,,site_name,,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Soluciones En Informatica,1,,site_name,,1,Mexico,Latin America,,Partner,,False,False,2020-10-31,2024-11-22,0
U.S. Bancorp Leasing,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Solid Semecs B.V.,1,,global_hq_rollup,,1,Netherlands,EMEA,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Solid-Applied Technologies,1,,site_name,,1,Israel,EMEA,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
Solidus Solutions,1,,site_name,,1,Belgium,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
U. YONG INDUSTRY CO. LTD.,1,,global_hq_rollup,,1,Thailand,Asia-Pacific,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Solkatronic Chemicals Inc,1,,site_name,,1,United States,North America,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Solo Susice,1,,site_name,,1,Czech Republic,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Soluciones Computacionales,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Solcera,1,,global_hq_rollup,,1,Brazil,Latin America,Industrial,Former Customer,B,False,False,2020-10-31,2025-10-03,0
ULTRA INDUSTRIAL S.A. DE C.V.,1,,site_name,Hitach,1,Mexico,Latin America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
SiteStream Software Ltd,1,,site_name,,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Sits Sp. Z o.o.,1,,site_name,,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
"Sivantos, Inc.",1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Skate One Corporation,1,,global_hq_rollup,,1,United States,North America,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
Skeeter Products,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Skilled Manufacturing Inc.,1,,global_hq_rollup,,1,United States,North America,Automotive,Customer,,True,False,2020-10-31,2025-10-03,0
